# PathPlanner CSV Format:
# timeSeconds, positionMeters, velocityMetersPerSecond, accelerationMetersPerSecondSq, headingDegrees, holonomicRotationDegrees, curvatureRadPerMeter, curveRadiusMeters, angularVelocityDegreesPerSec, angularAccelerationDegreesPerSecSq
 0.0,0.0,0,0.0,66.85526388612253,0.0,4.691139327080727,0.21316783200773,0.0,0.0
 0.08801477810823603,0.0038733005827210117,0.04400738905411801,0.49999999999999994,66.85526388612253,0.0,4.691139327080727,0.21316783200773,0.0,0.0
 0.12451846254151748,0.007752423756851645,0.10626662032487676,1.7055601985753317,65.81339167237321,0.0,4.630189284088739,0.2159738919176408,-28.541563130526335,-781.8817079325883
 0.15256771624024398,0.011638454019381805,0.13854308939088078,1.1507068748666722,64.78336784294444,0.0,4.566163678832107,0.21900222382211473,-36.72196916510275,-291.64433829295865
 0.1762523101835321,0.015532438422516006,0.16441001321188795,1.0921413254094436,63.765643325560106,0.0,4.499362673074761,0.22225369961488858,-42.96989510655072,-263.79704699216705
 0.19715672087574998,0.01943538629323919,0.18670451552964085,1.0664975275314752,62.76062734516367,0.0,4.430084725053811,0.2257293171718862,-48.076742999054005,-244.29523356065846
 0.2160938178424819,0.02334826905486987,0.20662526935911588,1.0519433820543431,61.76868773606594,0.0,4.35862428951245,0.22943019025662767,-52.38076410763098,-227.27987907217948
 0.2335466554943637,0.027272020146301496,0.22482023666842277,1.0425220054313102,60.790151515768414,0.0,4.285269744268202,0.23335753865612735,-56.06745675492073,-211.2374343258871
 0.2498300823927395,0.031207535034181496,0.24168836894355172,1.035908005139354,59.82530569591519,0.0,4.210301564946273,0.23751267802898124,-59.25324109444451,-195.64581579824247
 0.26516286057020055,0.0351556713128858,0.2574964714814697,1.031000537212208,58.87439830249219,0.0,4.1339907324544045,0.24189701059302735,-62.01794498147898,-180.31330363198933
 0.2797043041742291,0.039117248886794825,0.2724335823722149,1.027209629077475,57.93763958139253,0.0,4.056597400929288,0.2465120151610114,-64.41992601340742,-165.18174517851872
 0.29357469315052775,0.04309305022921325,0.2866394986623783,1.0241901877761401,57.01520335934864,0.0,3.9783697926792745,0.25135923810806426,-66.50399088447533,-150.25280650954372
 0.3068674655680269,0.04708382071207208,0.3002210793592774,1.0217267151147282,56.10722853708007,0.0,3.8995433334179626,0.25644028402769325,-68.30590291858722,-135.55577252942177
 0.3196569067001188,0.051090269000544225,0.3132621861340731,1.019677610624619,55.21382068725488,0.0,3.8203400017236766,0.26175680686766517,-69.85511255713914,-121.13192613745753
 0.33200321536599386,0.05511306750667924,0.3258300610330561,1.0179459496035757,54.33505373430614,0.0,3.7409678831317357,0.2673105012499744,-71.17649304991313,-107.02636136307366
 0.34395596490310565,0.05915285289621322,0.3379795901345505,1.0164631212066815,53.47097169326553,0.0,3.6616209108626117,0.27310309405143146,-72.29148727309521,-93.28349261566623
 0.3555565402094678,0.06321022664286345,0.34975625255628706,1.0151791709224844,52.621590446893414,0.0,3.582478776508219,0.2791363361473094,-73.21888992059641,-79.94453921544584
 0.36683989866029393,0.06728575562454735,0.36119821943487956,1.0140568456153911,51.78689954160186,0.0,3.503706989283291,0.2854119945128623,-73.97539561728986,-67.0461458784966
 0.37783587112976286,0.07137997275619337,0.37233788489502856,1.0130677837798376,50.966863985481716,0.0,3.4254570657113823,0.2919318446609474,-74.57599210956873,-54.61967951870224
 0.3885701420696063,0.07549337765399698,0.3832030065996838,1.0121900001914568,50.161426033232146,0.0,3.3478668351891145,0.29869766308775897,-75.0342484145757,-42.69095754850063
 0.3990650005357448,0.07962643732629697,0.3938175713026752,1.0114061792485434,49.37050694398792,0.0,3.271060836418889,0.3057112203069833,-75.36253030911388,-31.280259338168044
 0.4093399244795411,0.08377958688645819,0.40420246250764363,1.0107024890669407,48.59400870146215,0.0,3.1951507947777658,0.31297427390107063,-75.57216450196607,-20.40250555613785
 0.4194120415139879,0.08795323028346555,0.4143759829967647,1.0100677399128148,47.83181568591478,0.0,3.1202361601036963,0.32048856198332326,-75.67356623643764,-10.067569124224613
 0.4292964967157935,0.09214774104622665,0.4243542691148921,1.0094927757176413,47.08379629044283,0.0,3.04640469271355,0.32825579687157763,-75.67634029393125,-0.28064849675247155
 0.43900674946484913,0.0963634630378464,0.4341516230903209,1.008970026694892,46.34980447487115,0.0,2.9737330834716147,0.3362776590670248,-75.58936255733077,8.95730923264915
 0.4485548154160869,0.10060071121647989,0.4437807824404682,1.0084931754057518,45.62968125243258,0.0,2.902287598219586,0.34455579130526276,-75.42084712404102,17.649169386802708
 0.4579514655498411,0.10485977239962366,0.4532531404829641,1.0080569040736889,44.92325610501602,0.0,2.8321247316127023,0.35309179318192246,-75.17840266064344,25.801158917971716
 0.46720639128544045,0.10914090602898203,0.46257892841764015,1.0076567009937347,44.23034832531736,0.0,2.7632918669355333,0.3618872157391725,-74.86908047607204,33.422438321853356
 0.47632834249781975,0.11344434493336014,0.47176736689163146,1.007288710503273,43.550768283625,0.0,2.6958279304429307,0.3709435564144844,-74.49941639351415,40.52467218375709
 0.48532524370208224,0.11777029608724277,0.48082679309995097,1.0069496154995443,42.884318619103546,0.0,2.6297640360419807,0.3802622540633286,-74.07546769611066,47.12163530290025
 0.49420429250068076,0.12211894136304921,0.4897647681013804,1.0066365445406984,42.2307953553472,0.0,2.5651241112159315,0.3898446845622513,-73.60284627104441,53.228835181179655
 0.5029720435077137,0.12649043827516276,0.4985881680042003,1.006346997735482,41.58998894194347,0.0,2.5019255056424075,0.399692156199205,-73.08674857323322,58.86317909771992
